scientific_name,longitude,latitude
pseudopodoces humilis,96.69,32.64
pseudopodoces humilis,102.33,32.65
pseudopodoces humilis,95.57,32.66
pseudopodoces humilis,96.61,32.66
pseudopodoces humilis,95.71,32.69
pseudopodoces humilis,100.88,32.71
pseudopodoces humilis,96.61,32.72
pseudopodoces humilis,78.95,32.74
pseudopodoces humilis,102.45,32.75
pseudopodoces humilis,102.57,32.77
pseudopodoces humilis,79,32.79
pseudopodoces humilis,95.62,32.79
pseudopodoces humilis,102.5,32.79
pseudopodoces humilis,103.63,32.79
pseudopodoces humilis,91.91,32.8
pseudopodoces humilis,96.66,32.84
pseudopodoces humilis,97.13,32.84
pseudopodoces humilis,97.03,32.85
pseudopodoces humilis,95.62,32.86
pseudopodoces humilis,96.4,32.86
pseudopodoces humilis,96.91,32.86
pseudopodoces humilis,95.31,32.88
pseudopodoces humilis,96.69,32.88
pseudopodoces humilis,96.81,32.88
pseudopodoces humilis,102.47,32.88
pseudopodoces humilis,102.6,32.88
pseudopodoces humilis,95.24,32.9
pseudopodoces humilis,97.08,32.9
pseudopodoces humilis,101.72,32.9
pseudopodoces humilis,95.16,32.93
pseudopodoces humilis,95.75,32.93
pseudopodoces humilis,100.74,32.93
pseudopodoces humilis,96.77,32.94
pseudopodoces humilis,95.1,32.95
pseudopodoces humilis,96.43,32.95
pseudopodoces humilis,78.25,32.96
pseudopodoces humilis,96.22,32.96
pseudopodoces humilis,103.35,32.96
pseudopodoces humilis,97.24,32.98
pseudopodoces humilis,98.1,32.98
pseudopodoces humilis,102.99,32.99
pseudopodoces humilis,85.55,33
pseudopodoces humilis,97.09,33.01
pseudopodoces humilis,102.61,33.01
pseudopodoces humilis,97.01,33.02
pseudopodoces humilis,101.18,33.05
pseudopodoces humilis,103.73,33.05
pseudopodoces humilis,94.3,33.07
pseudopodoces humilis,95.17,33.07
pseudopodoces humilis,78.28,33.08
pseudopodoces humilis,96.83,33.08
pseudopodoces humilis,102.66,33.09
pseudopodoces humilis,103.35,33.09
pseudopodoces humilis,97.95,33.11
pseudopodoces humilis,96.69,33.13
pseudopodoces humilis,97.36,33.14
pseudopodoces humilis,100.69,33.16
pseudopodoces humilis,102.62,33.16
pseudopodoces humilis,95.2,33.17
pseudopodoces humilis,103.24,33.17
pseudopodoces humilis,77.79,33.18
pseudopodoces humilis,97.4,33.18
pseudopodoces humilis,96.53,33.2
pseudopodoces humilis,96.59,33.2
pseudopodoces humilis,78.37,33.22
pseudopodoces humilis,97.48,33.22
pseudopodoces humilis,100.99,33.23
pseudopodoces humilis,102.55,33.23
pseudopodoces humilis,78.05,33.26
pseudopodoces humilis,78.17,33.26
pseudopodoces humilis,96.42,33.27
pseudopodoces humilis,103.23,33.27
pseudopodoces humilis,100.69,33.29
pseudopodoces humilis,77.97,33.3
pseudopodoces humilis,97.56,33.3
pseudopodoces humilis,78.04,33.31
pseudopodoces humilis,101.17,33.32
pseudopodoces humilis,97.36,33.35
pseudopodoces humilis,97.53,33.35
pseudopodoces humilis,77.96,33.36
pseudopodoces humilis,78.02,33.36
pseudopodoces humilis,96.41,33.37
pseudopodoces humilis,100.96,33.37
pseudopodoces humilis,102.48,33.4
pseudopodoces humilis,96.45,33.41
pseudopodoces humilis,97.3,33.41
pseudopodoces humilis,96.52,33.42
pseudopodoces humilis,101.21,33.43
pseudopodoces humilis,101.49,33.43
pseudopodoces humilis,102.61,33.43
pseudopodoces humilis,96.72,33.44
pseudopodoces humilis,77.85,33.45
pseudopodoces humilis,97.41,33.48
pseudopodoces humilis,102.47,33.48
pseudopodoces humilis,102.58,33.48
pseudopodoces humilis,102.69,33.5
pseudopodoces humilis,103.03,33.51
pseudopodoces humilis,102.77,33.52
pseudopodoces humilis,103.14,33.52
pseudopodoces humilis,102.85,33.54
pseudopodoces humilis,96.2,33.57
pseudopodoces humilis,102.96,33.58
pseudopodoces humilis,103.18,33.58
pseudopodoces humilis,96.01,33.59
pseudopodoces humilis,103.07,33.59
pseudopodoces humilis,77.76,33.63
pseudopodoces humilis,78.32,33.63
pseudopodoces humilis,102.91,33.66
pseudopodoces humilis,94.69,33.76
pseudopodoces humilis,99.66,33.77
pseudopodoces humilis,102.96,33.78
pseudopodoces humilis,102.87,33.79
pseudopodoces humilis,77.62,33.8
pseudopodoces humilis,95.66,33.8
pseudopodoces humilis,95.62,33.85
pseudopodoces humilis,102.94,33.85
pseudopodoces humilis,78.52,33.86
pseudopodoces humilis,82.42,33.9
pseudopodoces humilis,76.66,33.91
pseudopodoces humilis,77.71,33.91
pseudopodoces humilis,102.56,33.91
pseudopodoces humilis,95.71,33.95
pseudopodoces humilis,102.08,33.96
pseudopodoces humilis,102.85,33.97
pseudopodoces humilis,94.48,33.99
pseudopodoces humilis,102.72,33.99
pseudopodoces humilis,102.9,34.01
pseudopodoces humilis,97.56,34.03
pseudopodoces humilis,102.07,34.03
pseudopodoces humilis,103,34.03
pseudopodoces humilis,77.67,34.06
pseudopodoces humilis,97.61,34.08
pseudopodoces humilis,102.63,34.08
pseudopodoces humilis,95.8,34.13
pseudopodoces humilis,77.56,34.15
pseudopodoces humilis,92.44,34.21
